sen1	sen2	src	score
한 소녀가 머리를 스타일링하고 있다.	한 소녀가 머리를 빗고 있다.	main-captions	2.500
한 무리의 남자들이 해변에서 축구를 한다.	한 무리의 소년들이 해변에서 축구를 하고 있다.	main-captions	3.600
한 여성이 다른 여성의 발목을 재고 있다.	한 여자는 다른 여자의 발목을 측정한다.	main-captions	5.000
한 남자가 오이를 자르고 있다.	한 남자가 오이를 자르고 있다.	main-captions	4.200
한 남자가 하프를 연주하고 있다.	한 남자가 키보드를 연주하고 있다.	main-captions	1.500
한 여자가 양파를 자르고 있다.	한 여자가 두부를 자르고 있다.	main-captions	1.800
한 남자가 전기 자전거를 타고 있다.	한 남자가 자전거를 타고 있다.	main-captions	3.500
한 남자가 드럼을 치고 있다.	남자가 기타를 치고 있다.	main-captions	2.200
한 남자가 기타를 치고 있다.	한 여성이 기타를 연주하고 있다.	main-captions	2.200
한 남자가 기타를 치고 있다.	한 남자가 트럼펫을 연주하고 있다.	main-captions	1.714
한 남자가 양파를 자르고 있다.	한 남자가 양파를 잘랐다.	main-captions	5.000
한 남자가 자전거를 타고 있다.	한 남자가 말하고 있다.	main-captions	0.600
한 남자가 생선을 썰어 열고 있다.	한 남자가 생선을 자르고 있다.	main-captions	4.400
한 남자가 토마토를 자르고 있다.	한 남자가 빵을 자르고 있다.	main-captions	2.000
한 남자가 기타를 치고 있다.	한 남자가 키보드를 연주하고 있다.	main-captions	1.800
아기 판다가 미끄럼틀을 타고 아래로 내려간다.	판다가 미끄럼틀 아래로 미끄러진다.	main-captions	4.400
한 남자가 노래를 부르며 기타를 연주하고 있다.	한 남자가 기타를 치고 있다.	main-captions	3.600
한 남자가 여자를 공격한다.	한 남자가 여자를 때린다.	main-captions	3.600
한 남자가 차를 운전하고 있다.	한 남자가 말을 타고 있다.	main-captions	1.200
한 여자가 두부를 자르고 있다.	여자가 양파를 자르고 있다.	main-captions	2.400
여자가 그녀의 머리를 스타일링하고 있다.	여자가 약초를 썰고 있다.	main-captions	0.200
두 얼룩말이 열린 필드에서 놀고 있다.	두 얼룩말이 들판에서 놀고 있다.	main-captions	4.200
한 남자가 감자를 자르고 있다.	한 남자가 감자를 썰고 있다.	main-captions	4.400
한 남자가 양파를 자르고 있다.	한 여성이 호박을 썰고 있다.	main-captions	2.250
한 남자가 춤을 추고 있다.	한 남자와 여자가 춤을 추고 있다.	main-captions	2.000
한 남자가 오토바이를 타고 있다.	한 여자가 말을 타고 있다.	main-captions	0.750
한 여성이 마늘을 썰고 있다.	한 여성이 양파를 자르고 있다.	main-captions	2.200
한 남자가 말하고 있다.	한 남자가 요리를 하고 있다.	main-captions	0.800
한 어린 소년이 노래를 부르고 기타를 치고 있다.	한 남자가 노래를 부르고 기타를 연주하고 있다.	main-captions	2.200
거북이가 물속에서 헤엄치고 있다.	거북이가 물속에서 걷고 있다.	main-captions	3.200
한 젊은 여성이 얼굴에 스티커를 붙이고 있다.	한 여성이 얼굴에 스티커를 붙이고 있다.	main-captions	4.800
한 여자가 두부를 싸고 있다.	한 여자가 반죽을 구르고 있다.	main-captions	1.400
고양이가 옥수수를 먹고 있다.	고양이가 거미줄에서 옥수수를 먹고 있다.	main-captions	4.250
한 남자가 음식을 먹고 있다.	한 남자가 빵 한 조각을 먹고 있다.	main-captions	3.400
한 남자가 기타를 치고 있다.	한 남자가 파스타를 먹고 있다.	main-captions	0.533
한 남자가 물냄비를 걷어차고 있다.	한 남자가 꽃을 따고 있다.	main-captions	0.400
한 남자가 가위로 파이프를 자르고 있다.	한 남자가 칼로 카펫을 자르고 있다.	main-captions	1.200
한 여성이 빗속에서 춤을 추고 있다.	한 여자가 밖에 빗속에서 춤을 춘다.	main-captions	5.000
한 여성이 목욕을 하고 있다.	한 여자가 말을 타고 있다.	main-captions	0.538
한 남자가 냄비에 채소를 섞는다.	한 사람이 냄비에 채소를 넣고 저어대고 있다.	main-captions	3.750
한 여성이 휴대폰으로 통화하고 있다.	한 남자와 여자가 전화로 이야기하고 있다.	main-captions	3.000
한 남자가 기타를 치고 있다.	한 남자가 기타를 연주하면서 노래를 부르고 있다.	main-captions	3.600
한 남자가 기타를 치고 있다.	한 남자가 차를 운전하고 있다.	main-captions	0.500
한 남자가 손으로 사과를 자르고 있다.	한 남자가 칼로 카펫을 자르고 있다.	main-captions	1.500
한 남자가 문을 열고 있다.	한 남자가 양파를 자르고 있다.	main-captions	0.800
한 남자가 토마토를 자르고 있다.	한 남자가 말을 타고 있다.	main-captions	0.800
한 남자가 검으로 종이를 자르고 있다.	한 여성이 토마토를 자르고 있다.	main-captions	0.600
한 소년이 달력을 공부한다.	한 소년이 달력을 보고 있다.	main-captions	4.400
발레리나가 춤을 추고 있다.	한 남자가 춤을 추고 있다.	main-captions	1.750
한 여자가 춤을 추고 있다.	한 여성이 바이올린을 연주하고 있다.	main-captions	0.400
한 여성이 토마토를 썰고 있다.	한 여성이 감자를 자르고 있다.	main-captions	1.400
한 여성이 수상스키를 타고 있다.	한 여성이 생선을 자르고 있다.	main-captions	0.400
남자가 플루트를 연주하고 있다.	한 남자가 스쿠터를 타고 있다.	main-captions	0.800
한 남자가 피아노를 치고 있다.	한 남자가 기타를 연주했다.	main-captions	2.000
한 여자가 캔을 따고 있다.	한 남자가 기타를 치고 있다.	main-captions	0.133
한 남자가 팬에 고기 세 조각을 넣는다.	한 남자가 팬에 고기를 넣고 있다.	main-captions	4.000
여자가 양파를 자르고 있다.	한 여성이 정원을 청소하고 있다.	main-captions	0.267
몇몇 남자들이 톱질을 하고 있다.	남자들이 통나무를 톱질하고 있다.	main-captions	3.400
